,symbol,date,open,close,volume,spread,up/down
316,BTC,2014-03-10,636.33,627.79,20639800.0,29.74,DOWN
317,BTC,2014-03-11,627.95,634.11,11732500.0,19.58,UP
318,BTC,2014-03-12,631.91,632.1,18621200.0,18.52,UP
319,BTC,2014-03-13,633.62,638.14,11634900.0,13.35,UP
320,BTC,2014-03-14,638.14,628.8,11913800.0,12.32,DOWN
321,BTC,2014-03-15,629.37,636.12,4342080.0,11.84,UP
322,BTC,2014-03-16,636.5,631.11,5277290.0,9.41,DOWN
323,BTC,2014-03-17,630.92,622.37,14648200.0,15.82,DOWN
324,BTC,2014-03-18,621.84,614.83,24011500.0,18.59,DOWN
325,BTC,2014-03-19,613.9,609.89,14228900.0,12.9,DOWN
326,BTC,2014-03-20,609.75,588.77,20572900.0,22.26,DOWN
327,BTC,2014-03-21,588.29,571.49,38414100.0,42.78,DOWN
328,BTC,2014-03-22,571.18,565.04,17360700.0,18.16,DOWN
329,BTC,2014-03-23,565.76,561.27,9288400.0,9.36,DOWN
330,BTC,2014-03-24,562.51,583.41,22706900.0,34.79,UP
331,BTC,2014-03-25,585.03,583.92,14020100.0,12.83,DOWN
332,BTC,2014-03-26,583.48,580.83,16401100.0,19.07,DOWN
333,BTC,2014-03-27,580.26,471.24,62225400.0,109.32,DOWN
334,BTC,2014-03-28,477.14,495.67,58828300.0,52.79,UP
335,BTC,2014-03-29,501.71,491.17,11147100.0,15.13,DOWN
336,BTC,2014-03-30,492.37,460.27,42958300.0,48.19,DOWN
337,BTC,2014-03-31,462.3,457.0,28254000.0,39.65,DOWN
338,BTC,2014-04-01,457.0,478.38,35685800.0,38.34,UP
339,BTC,2014-04-02,479.14,437.14,49647600.0,63.78,DOWN
340,BTC,2014-04-03,436.44,444.72,40765500.0,34.67,UP
341,BTC,2014-04-04,445.66,447.53,22925500.0,25.56,UP
342,BTC,2014-04-05,446.68,461.91,13404500.0,19.37,UP
343,BTC,2014-04-06,463.4,460.5,10241400.0,13.35,DOWN
344,BTC,2014-04-07,461.47,449.42,15616600.0,17.44,DOWN
345,BTC,2014-04-08,447.61,453.09,10921600.0,11.31,UP
346,BTC,2014-04-09,453.18,442.73,13204400.0,13.8,DOWN
347,BTC,2014-04-10,442.26,365.18,55868300.0,84.64,DOWN
348,BTC,2014-04-11,363.71,420.95,62562800.0,78.5,UP
349,BTC,2014-04-12,420.89,421.12,19226500.0,23.82,UP
350,BTC,2014-04-13,421.46,414.06,22493500.0,32.15,DOWN
351,BTC,2014-04-14,414.83,458.79,50730200.0,62.38,UP
352,BTC,2014-04-15,458.37,515.59,49561000.0,65.46,UP
353,BTC,2014-04-16,522.18,527.39,56480100.0,39.6,UP
354,BTC,2014-04-17,529.07,495.96,34025500.0,48.65,DOWN
355,BTC,2014-04-18,495.8,479.64,19042400.0,25.86,DOWN
356,BTC,2014-04-19,479.58,501.56,19588200.0,33.0,UP
357,BTC,2014-04-20,501.75,498.17,12103100.0,20.03,DOWN
358,BTC,2014-04-21,497.74,495.77,15171400.0,17.37,DOWN
359,BTC,2014-04-22,495.45,487.92,11670900.0,15.64,DOWN
360,BTC,2014-04-23,488.36,491.3,9814530.0,7.43,UP
361,BTC,2014-04-24,490.82,500.46,13009400.0,17.51,UP
362,BTC,2014-04-25,500.09,461.45,46856500.0,57.35,DOWN
363,BTC,2014-04-26,461.7,458.6,12214600.0,15.44,DOWN
364,BTC,2014-04-27,457.24,436.39,10949500.0,22.94,DOWN
365,BTC,2014-04-28,430.72,440.29,23876600.0,24.59,UP
366,BTC,2014-04-29,439.98,447.21,16401400.0,16.46,UP
367,BTC,2014-04-30,446.89,447.64,15244900.0,14.4,UP
368,BTC,2014-05-01,447.63,457.76,12871800.0,12.98,UP
369,BTC,2014-05-02,457.36,449.38,10394200.0,14.53,DOWN
370,BTC,2014-05-03,449.4,437.76,9849640.0,18.72,DOWN
371,BTC,2014-05-04,438.52,436.4,5621260.0,9.72,DOWN
372,BTC,2014-05-05,434.78,433.48,10004800.0,13.35,DOWN
373,BTC,2014-05-06,433.36,428.96,12507300.0,24.79,DOWN
374,BTC,2014-05-07,429.34,438.82,18332200.0,17.68,UP
375,BTC,2014-05-08,438.68,440.17,9446580.0,10.26,UP
376,BTC,2014-05-09,440.18,449.46,10347900.0,12.55,UP
377,BTC,2014-05-10,450.46,454.43,6682600.0,7.3,UP
378,BTC,2014-05-11,453.92,438.89,12251700.0,21.94,DOWN
379,BTC,2014-05-12,438.3,441.46,7383770.0,8.03,UP
380,BTC,2014-05-13,441.53,440.67,7682670.0,5.01,DOWN
381,BTC,2014-05-14,440.59,443.97,9472960.0,6.16,UP
382,BTC,2014-05-15,444.14,447.25,7362980.0,6.17,UP
383,BTC,2014-05-16,447.39,448.06,6475100.0,5.7,UP
384,BTC,2014-05-17,448.12,448.9,2945790.0,4.68,UP
385,BTC,2014-05-18,448.7,446.26,2857830.0,4.99,DOWN
386,BTC,2014-05-19,446.08,446.18,6242620.0,4.46,UP
387,BTC,2014-05-20,446.31,485.72,40327500.0,45.43,UP
388,BTC,2014-05-21,485.8,491.77,14626000.0,10.88,UP
389,BTC,2014-05-22,492.05,524.58,33086500.0,35.17,UP
390,BTC,2014-05-23,525.72,520.22,34934700.0,21.88,DOWN
391,BTC,2014-05-24,521.05,525.14,11499300.0,8.89,UP
392,BTC,2014-05-25,525.23,571.59,47010300.0,51.25,UP
393,BTC,2014-05-26,571.39,583.42,29959800.0,23.06,UP
394,BTC,2014-05-27,582.59,571.24,38032000.0,35.09,DOWN
395,BTC,2014-05-28,571.91,577.06,19289000.0,14.53,UP
396,BTC,2014-05-29,576.33,568.18,18707800.0,15.5,DOWN
397,BTC,2014-05-30,568.18,615.33,31985400.0,50.3,UP
398,BTC,2014-05-31,615.69,623.68,15107100.0,20.25,UP
399,BTC,2014-06-01,623.69,630.23,45259100.0,51.6,UP
400,BTC,2014-06-02,629.64,660.62,45450200.0,46.75,UP
401,BTC,2014-06-03,660.55,667.61,40653700.0,23.33,UP
402,BTC,2014-06-04,666.77,641.61,37731500.0,44.47,DOWN
403,BTC,2014-06-05,641.07,659.26,29621300.0,23.44,UP
404,BTC,2014-06-06,659.28,653.7,18680100.0,9.07,DOWN
405,BTC,2014-06-07,653.52,654.97,15855300.0,12.03,UP
406,BTC,2014-06-08,654.99,656.14,8614190.0,5.41,UP
407,BTC,2014-06-09,655.64,649.16,19065400.0,13.31,DOWN
408,BTC,2014-06-10,650.04,653.15,17913400.0,13.06,UP
409,BTC,2014-06-11,653.19,633.02,25163800.0,24.49,DOWN
410,BTC,2014-06-12,633.43,586.95,50818800.0,64.84,DOWN
411,BTC,2014-06-13,585.7,600.16,35700700.0,29.44,UP
412,BTC,2014-06-14,600.75,577.36,38481200.0,51.45,DOWN
413,BTC,2014-06-15,575.93,592.94,23580900.0,38.05,UP
414,BTC,2014-06-16,592.65,592.19,28677500.0,21.65,DOWN
415,BTC,2014-06-17,591.59,610.86,18597300.0,20.49,UP
416,BTC,2014-06-18,609.77,607.96,17862000.0,11.48,DOWN
417,BTC,2014-06-19,608.07,598.07,12803800.0,15.22,DOWN
418,BTC,2014-06-20,597.4,594.15,18134100.0,11.99,DOWN
419,BTC,2014-06-21,593.68,594.99,9256290.0,11.72,UP
420,BTC,2014-06-22,595.9,602.27,10877700.0,11.37,UP
421,BTC,2014-06-23,602.16,593.98,14053800.0,16.87,DOWN
422,BTC,2014-06-24,593.97,582.36,14144900.0,14.61,DOWN
423,BTC,2014-06-25,581.81,566.34,20687700.0,17.97,DOWN
424,BTC,2014-06-26,566.14,581.14,14655900.0,16.9,UP
425,BTC,2014-06-27,581.3,597.26,20814600.0,20.24,UP
426,BTC,2014-06-28,599.08,596.55,13398100.0,8.55,DOWN
427,BTC,2014-06-29,596.33,602.72,8897470.0,7.92,UP
428,BTC,2014-06-30,602.62,639.8,46422400.0,45.27,UP
429,BTC,2014-07-01,641.39,640.81,38446300.0,17.75,DOWN
430,BTC,2014-07-02,641.04,650.88,25768200.0,18.34,UP
431,BTC,2014-07-03,650.77,645.16,18949000.0,9.47,DOWN
432,BTC,2014-07-04,644.65,630.69,22237200.0,19.03,DOWN
433,BTC,2014-07-05,629.95,631.46,9105940.0,5.22,UP
434,BTC,2014-07-06,631.77,635.81,10080000.0,7.49,UP
435,BTC,2014-07-07,635.46,624.09,17813600.0,20.15,DOWN
436,BTC,2014-07-08,622.57,624.82,10005500.0,5.79,UP
437,BTC,2014-07-09,625.22,624.51,9819150.0,4.4,DOWN
438,BTC,2014-07-10,624.83,616.76,15880700.0,13.77,DOWN
439,BTC,2014-07-11,616.66,632.0,16467100.0,16.32,UP
440,BTC,2014-07-12,631.88,633.71,13329000.0,9.68,UP
441,BTC,2014-07-13,634.22,626.5,11291000.0,9.82,DOWN
442,BTC,2014-07-14,626.56,619.32,12706800.0,10.02,DOWN
443,BTC,2014-07-15,620.0,621.59,10873200.0,5.51,UP
444,BTC,2014-07-16,622.01,616.8,13182400.0,7.76,DOWN
445,BTC,2014-07-17,616.54,623.09,16576700.0,17.89,UP
446,BTC,2014-07-18,622.37,628.78,14158100.0,8.74,UP
447,BTC,2014-07-19,629.17,628.51,7222030.0,4.57,DOWN
448,BTC,2014-07-20,628.56,623.9,5760120.0,5.79,DOWN
449,BTC,2014-07-21,623.95,622.21,10711900.0,4.98,DOWN
450,BTC,2014-07-22,622.27,621.55,9602880.0,3.34,DOWN
451,BTC,2014-07-23,621.12,619.41,11056600.0,6.14,DOWN
452,BTC,2014-07-24,619.5,601.73,20917200.0,24.86,DOWN
453,BTC,2014-07-25,601.51,601.09,12279500.0,9.84,DOWN
454,BTC,2014-07-26,601.54,595.81,10752900.0,8.13,DOWN
455,BTC,2014-07-27,595.67,593.85,7774230.0,5.51,DOWN
456,BTC,2014-07-28,594.14,585.69,19316400.0,19.39,DOWN
457,BTC,2014-07-29,585.55,584.73,11275400.0,6.68,DOWN
458,BTC,2014-07-30,584.74,567.29,14898800.0,20.22,DOWN
459,BTC,2014-07-31,567.37,586.24,22467900.0,21.73,UP
460,BTC,2014-08-01,586.2,594.92,18215900.0,14.29,UP
461,BTC,2014-08-02,594.9,589.33,8359080.0,8.76,DOWN
462,BTC,2014-08-03,588.89,586.67,9917990.0,7.5,DOWN
463,BTC,2014-08-04,586.23,588.78,9867570.0,8.21,UP
464,BTC,2014-08-05,589.01,585.44,10790800.0,5.77,DOWN
465,BTC,2014-08-06,585.95,584.65,14497900.0,4.39,DOWN
